STATE,%POPGROWTH
Alabama,0.34
Alaska,1.33
Arizona,0.94
Arkansas,0.56
California,0.90
Colorado,1.39
Connecticut,0.27
Delaware,0.92
District of Columbia,2.40
Florida,1.26
Georgia,1.00
Hawaii,0.97
Idaho,0.84
Illinois,0.13
Indiana,0.41
Iowa,0.45
Kansas,0.37
Kentucky,0.44
Louisiana,0.66
Maine,0.04
Maryland,0.92
Massachusetts,0.66
Michigan,-0.02
Minnesota,0.69
Mississippi,0.26
Missouri,0.23
Montana,0.71
Nebraska,0.65
Nevada,0.54
New Hampshire,0.11
New Jersey,0.39
New Mexico,0.63
New York,0.54
North Carolina,0.96
North Dakota,1.56
Ohio,0.04
Oklahoma,0.70
Oregon,0.80
Pennsylvania,0.24
Rhode Island,-0.22
South Carolina,0.80
South Dakota,0.93
Tennessee,0.66
Texas,1.57
Utah,1.45
Vermont,0.08
Virginia,1.01
Washington,1.18
West Virginia,0.06
Wisconsin,0.35
Wyoming,0.55
